Song Title,Artist,Release Date,Angella,Favorites,Pace: Upbeat,Pace: Medium,Pace: Slow,Sing-Along,Love Song,Processional Ideas,Recessional Ideas,First Dance,Father/Daughter,Mother/Son,Folk,Pop,Country,Rock,Indie,Alternative, Reggae,Soul,Funk,Punk,Acoustic,R&B,Children,Blues,Jazz,Dance,International,Rap,Religious,Vocal,Hip Hop,Singer-Songwriter,Bluegrass,Jam,Classical,Link
One Drop,Bob Marley,10/2/1979,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/85e6cfbd-9d8e-4610-8fb2-767cee812e6c/
One Love/People Get Ready,Bob Marley,6/3/1977,yes,yes,yes,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/30153f17-70f6-4d4d-9712-62af4d43814e/
Stir It Up,Bob Marley,1/1/1967,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/dd54fbd1-0c8f-4429-95b0-2a4bc2c44fb4/
Three Little Birds,Bob Marley,6/3/1977,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/4e300c3c-3818-457c-9f39-97c31dc940a4/
Waiting In Vain,Bob Marley,6/3/1977,no,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/45777457-92be-4bb2-a3bf-2a37a64d9c30/
2002,Bob Schneider,3/13/2001,yes,yes,no,no,yes,no,no,no,no,no,no,no,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/9774800f-3a88-40ce-aad1-f2589299d240/
40 Dogs,Bob Schneider,9/29/2009,yes,yes,yes,no,no,no,yes,no,no,no,no,no,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/32fca5e9-d811-4eeb-829e-4d3b16862ce1/
Big Blue Sea,Bob Schneider,3/13/2001,no,yes,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/bf951753-dadd-4ef7-aeca-bad6cd4e55bb/
Honeypot,Bob Schneider,4/19/2011,no,yes,yes,yes,no,yes,yes,no,no,no,no,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/0b603ca7-9d87-44c4-a08b-4c1854bef44c/
Long Way To Get,Bob Schneider,4/13/2004,no,yes,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/81c474ab-8024-4fdf-9a7d-e4a3759f9313/
Making It Up,Bob Schneider,1/1/2018,no,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/e9ca280e-105d-41b7-a31d-0dd29a3106c1/
Against the Wind,Bob Seger,4/1/1980,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/e6e6b7cf-fdea-4c41-8a64-6f5d35ba7ac8/
00000 Million,Bon Iver,9/30/2016,no,yes,no,yes,yes,no,no,no,no,no,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/dd1ca0c5-9cac-4377-b8be-48f1539000be/
Skinny Love,Bon Iver,4/28/2008,no,yes,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/5d543bed-383c-44bd-914e-4c7b9441c95e/
Living on a Prayer,Bon Jovi,10/31/1986,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/cd02ee22-b183-4923-906a-65c8f44ea8e9/
First Day Of My Life,Bright Eyes,3/21/2005,no,yes,no,yes,yes,no,yes,yes,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/4108c723-6fef-4119-9da2-f08a072cfb07/
If I should fall behind,Bruce Springsteen,3/31/1992,no,yes,no,no,yes,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Thunder Road,Bruce Springsteen,8/25/1975,no,yes,no,yes,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/dd1631eb-7b8c-430b-8835-ae1a1ef52d86/
Count On Me,Bruno Mars,11/7/2011,no,yes,no,yes,no,no,yes,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/723265c5-55e5-4d3a-a8d1-9dd862bea3eb/
Marry You,Bruno Mars,8/22/2011,no,yes,yes,yes,no,no,yes,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/7e611d7c-be92-4ba4-b571-f20d1527055c/
When I Was Your Man,Bruno Mars,1/15/2013,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/91a746cd-d25f-463b-8db1-3ebe16ad69c7/
Ain't No Rest for the Wicked,Cage the Elephant,6/16/2008,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/c08215ca-dcc5-4f96-a6ab-3c3e0b9cb31c/
Love You Madly,Cake,7/24/2001,yes,yes,yes,no,no,no,yes,no,yes,no,no,no,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/292165c4-ff04-43dc-bc37-4034f39b1919/
The Guitar Man,Cake,10/5/2004,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/fea0c7c3-b365-4303-8a1f-123ef62b2006/
Father & Son,Cat Stevens,11/23/1970,no,yes,no,no,yes,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,https://www.evernote.com/shard/s3/nl/584496/0c9a2c98-f541-41d6-8b73-afeae493da29/
